time,value,is_night
2020-01-01 00:18:00,1,False
2020-01-01 00:23:00,1,False
2020-01-01 01:39:00,1,False
2020-01-01 02:09:00,1,False
2020-01-01 02:54:00,1,False
2020-01-01 04:49:00,1,True
2020-01-01 06:31:00,1,True
2020-01-01 06:36:00,1,True
2020-01-01 07:03:00,1,True
2020-01-01 07:07:00,1,True
2020-01-01 07:17:00,1,True
2020-01-01 07:22:00,1,True
2020-01-01 07:26:00,1,False
2020-01-01 07:40:00,1,False
2020-01-01 07:41:00,1,False
2020-01-01 07:52:00,1,False
2020-01-01 08:04:00,1,False
2020-01-01 08:09:00,1,False
2020-01-01 08:20:00,1,False
2020-01-01 08:21:00,1,False
2020-01-01 08:22:00,1,False
2020-01-01 08:23:00,1,False
2020-01-01 08:26:00,1,False
2020-01-01 08:34:00,1,False
2020-01-01 08:36:00,1,False
2020-01-01 08:37:00,1,False
2020-01-01 08:38:00,1,False
2020-01-01 08:40:00,1,False
2020-01-01 08:51:00,1,False
2020-01-01 08:52:00,1,False
2020-01-01 08:56:00,1,False
2020-01-01 09:01:00,1,False
2020-01-01 09:16:00,1,False
2020-01-01 09:18:00,1,False
2020-01-01 09:21:00,1,False
2020-01-01 09:33:00,1,False
2020-01-01 09:43:00,1,False
2020-01-01 09:46:00,1,False
2020-01-01 09:50:00,1,False
2020-01-01 09:57:00,1,False
2020-01-01 10:17:00,1,False
2020-01-01 10:19:00,1,False
2020-01-01 10:21:00,1,False
2020-01-01 10:35:00,1,False
2020-01-01 10:40:00,1,False
2020-01-01 12:10:00,1,True
2020-01-01 12:39:00,1,False
2020-01-01 14:57:00,1,True
2020-01-01 15:08:00,1,True
2020-01-01 16:00:00,1,True
2020-01-01 16:25:00,1,True
2020-01-01 16:29:00,1,True
2020-01-01 16:34:00,1,True
2020-01-01 16:41:00,1,True
2020-01-01 16:51:00,1,True
2020-01-01 16:52:00,1,True
2020-01-01 16:53:00,1,True
2020-01-01 16:54:00,1,True
2020-01-01 16:55:00,1,True
2020-01-01 17:03:00,1,True
2020-01-01 17:05:00,1,True
2020-01-01 17:07:00,1,True
2020-01-01 17:10:00,1,True
2020-01-01 17:14:00,1,True
2020-01-01 17:15:00,1,True
2020-01-01 17:16:00,1,True
2020-01-01 17:23:00,1,True
2020-01-01 17:31:00,1,True
2020-01-01 17:34:00,1,True
2020-01-01 17:40:00,1,True
2020-01-01 17:42:00,1,True
2020-01-01 17:44:00,1,True
2020-01-01 17:49:00,1,True
2020-01-01 17:51:00,1,True
2020-01-01 17:52:00,1,True
2020-01-01 17:54:00,1,True
2020-01-01 18:02:00,1,True
2020-01-01 18:03:00,1,True
2020-01-01 18:07:00,1,True
2020-01-01 18:33:00,1,True
2020-01-01 18:40:00,1,True
2020-01-01 18:42:00,1,True
2020-01-01 18:47:00,1,True
2020-01-01 18:55:00,1,True
2020-01-01 19:05:00,1,True
2020-01-01 19:09:00,1,True
2020-01-01 19:12:00,1,True
2020-01-01 19:15:00,1,True
2020-01-01 19:17:00,1,True
2020-01-01 19:23:00,1,True
2020-01-01 19:31:00,1,False
2020-01-01 20:56:00,1,False
2020-01-01 20:57:00,1,False
2020-01-01 21:31:00,1,False
2020-01-01 22:13:00,1,False
2020-01-01 22:27:00,1,False
2020-01-02 01:26:00,1,False
2020-01-02 01:36:00,1,False
2020-01-02 02:15:00,1,False
2020-01-02 02:54:00,1,False
2020-01-02 05:07:00,1,True
2020-01-02 07:05:00,1,True
2020-01-02 07:14:00,1,True
2020-01-02 07:24:00,1,False
2020-01-02 07:33:00,1,False
2020-01-02 07:38:00,1,False
2020-01-02 07:48:00,1,False
2020-01-02 07:58:00,1,False
2020-01-02 08:05:00,1,False
2020-01-02 08:13:00,1,False
2020-01-02 08:14:00,1,False
2020-01-02 08:16:00,1,False
2020-01-02 08:19:00,1,False
2020-01-02 08:21:00,1,False
2020-01-02 08:22:00,1,False
2020-01-02 08:23:00,1,False
2020-01-02 08:29:00,1,False
2020-01-02 08:30:00,1,False
2020-01-02 08:31:00,1,False
2020-01-02 08:41:00,1,False
2020-01-02 08:44:00,1,False
2020-01-02 08:46:00,1,False
2020-01-02 08:48:00,1,False
2020-01-02 08:51:00,1,False
2020-01-02 08:53:00,1,False
2020-01-02 08:56:00,1,False
2020-01-02 08:58:00,1,False
2020-01-02 09:13:00,1,False
2020-01-02 09:14:00,1,False
2020-01-02 09:18:00,1,False
2020-01-02 09:28:00,1,False
2020-01-02 09:29:00,1,False
2020-01-02 09:37:00,1,False
2020-01-02 09:40:00,1,False
2020-01-02 09:41:00,1,False
2020-01-02 09:55:00,1,False
2020-01-02 09:57:00,1,False
2020-01-02 09:58:00,1,False
2020-01-02 10:22:00,1,False
2020-01-02 10:47:00,1,False
2020-01-02 10:55:00,1,False
2020-01-02 12:13:00,1,True
2020-01-02 13:52:00,1,False
2020-01-02 14:43:00,1,True
2020-01-02 15:40:00,1,True
2020-01-02 15:56:00,1,True
2020-01-02 16:08:00,1,True
2020-01-02 16:09:00,1,True
2020-01-02 16:24:00,1,True
2020-01-02 16:32:00,1,True
2020-01-02 16:33:00,1,True
2020-01-02 16:35:00,1,True
2020-01-02 16:43:00,1,True
2020-01-02 16:58:00,1,True
2020-01-02 17:00:00,1,True
2020-01-02 17:01:00,1,True
2020-01-02 17:07:00,1,True
2020-01-02 17:10:00,1,True
2020-01-02 17:12:00,1,True
2020-01-02 17:20:00,1,True
2020-01-02 17:25:00,1,True
2020-01-02 17:28:00,1,True
2020-01-02 17:30:00,1,True
2020-01-02 17:34:00,1,True
2020-01-02 17:35:00,1,True
2020-01-02 17:38:00,1,True
2020-01-02 17:41:00,1,True
2020-01-02 17:42:00,1,True
2020-01-02 17:44:00,1,True
2020-01-02 17:45:00,1,True
2020-01-02 17:56:00,1,True
2020-01-02 18:02:00,1,True
2020-01-02 18:07:00,1,True
2020-01-02 18:20:00,1,True
2020-01-02 18:22:00,1,True
2020-01-02 18:23:00,1,True
2020-01-02 18:29:00,1,True
2020-01-02 18:33:00,1,True
2020-01-02 18:35:00,1,True
2020-01-02 19:02:00,1,True
2020-01-02 19:17:00,1,True
2020-01-02 19:29:00,1,False
2020-01-02 19:31:00,1,False
2020-01-02 20:17:00,1,False
2020-01-02 21:14:00,1,False
2020-01-02 21:20:00,1,False
2020-01-02 22:38:00,1,False
2020-01-02 23:28:00,1,False
2020-01-03 02:48:00,1,False
2020-01-03 03:49:00,1,True
2020-01-03 04:45:00,1,True
2020-01-03 04:46:00,1,True
2020-01-03 06:01:00,1,True
2020-01-03 06:43:00,1,True
